breed,picture_name
Affenpinscher,Affenpinscher.png
Afghan Hound,Afghan_Hound.png
Airedale Terrier,Airedale_Terrier.png
Akita,Akita.png
Alaskan Malamute,Alaskan_Malamute.png
American Bulldog,American_Bulldog.png
American English Coonhound,American_English_Coonhound.png
American Eskimo Dog,American_Eskimo_Dog.png
American Foxhound,American_Foxhound.png
American Hairless Terrier,American_Hairless_Terrier.png
American Leopard Hound,American_Leopard_Hound.png
American Staffordshire Terrier,American_Staffordshire_Terrier.png
American Water Spaniel,American_Water_Spaniel.png
Anatolian Shepherd Dog,Anatolian_Shepherd_Dog.png
Appenzeller Sennenhund,Appenzeller_Sennenhund.png
Australian Cattle Dog,Australian_Cattle_Dog.png
Australian Kelpie,Australian_Kelpie.png
Australian Shepherd,Australian_Shepherd.png
Australian Stumpy Tail Cattle Dog,Australian_Stumpy_Tail_Cattle_Dog.png
Australian Terrier,Australian_Terrier.png
Azawakh,Azawakh.png
Barbet,Barbet.png
Basenji,Basenji.png
Basset Fauve de Bretagne,Basset_Fauve_de_Bretagne.png
Basset Hound,Basset_Hound.png
Bavarian Mountain Scent Hound,Bavarian_Mountain_Scent_Hound.png
Beagle,Beagle.png
Bearded Collie,Bearded_Collie.png
Beauceron,Beauceron.png
Bedlington Terrier,Bedlington_Terrier.png
Belgian Laekenois,Belgian_Laekenois.png
Belgian Malinois,Belgian_Malinois.png
Belgian Sheepdog,Belgian_Sheepdog.png
Belgian Tervuren,Belgian_Tervuren.png
Bergamasco Sheepdog,Bergamasco_Sheepdog.png
Berger Picard,Berger_Picard.png
Bernese Mountain Dog,Bernese_Mountain_Dog.png
Bichon Frise,Bichon_Frise.png
Biewer Terrier,Biewer_Terrier.png
Black and Tan Coonhound,Black_and_Tan_Coonhound.png
Black Russian Terrier,Black_Russian_Terrier.png
Bloodhound,Bloodhound.png
Bluetick Coonhound,Bluetick_Coonhound.png
Boerboel,Boerboel.png
Bohemian Shepherd,Bohemian_Shepherd.png
Bolognese,Bolognese.png
Border Collie,Border_Collie.png
Border Terrier,Border_Terrier.png
Borzoi,Borzoi.png
Boston Terrier,Boston_Terrier.png
Bouvier des Flandres,Bouvier_des_Flandres.png
Boxer,Boxer.png
Boykin Spaniel,Boykin_Spaniel.png
Bracco Italiano,Bracco_Italiano.png
Braque du Bourbonnais,Braque_du_Bourbonnais.png
Braque Francais Pyrenean,Braque_Francais_Pyrenean.png
Briard,Briard.png
Brittany,Brittany.png
Broholmer,Broholmer.png
Brussels Griffon,Brussels_Griffon.png
Bull Terrier,Bull_Terrier.png
Bulldog,Bulldog.png
Bullmastiff,Bullmastiff.png
Cairn Terrier,Cairn_Terrier.png
Canaan Dog,Canaan_Dog.png
Cane Corso,Cane_Corso.png
Cardigan Welsh Corgi,Cardigan_Welsh_Corgi.png
Carolina Dog,Carolina_Dog.png
Catahoula Leopard Dog,Catahoula_Leopard_Dog.png
Caucasian Shepherd Dog,Caucasian_Shepherd_Dog.png
Cavalier King Charles Spaniel,Cavalier_King_Charles_Spaniel.png
Central Asian Shepherd Dog,Central_Asian_Shepherd_Dog.png
Cesky Terrier,Cesky_Terrier.png
Chesapeake Bay Retriever,Chesapeake_Bay_Retriever.png
Chihuahua,Chihuahua.png
Chinese Crested,Chinese_Crested.png
Chinese Shar-Pei,Chinese_Shar_Pei.png
Chinook,Chinook.png
Chow Chow,Chow_Chow.png
Cirneco dellEtna,Cirneco_dellEtna.png
Clumber Spaniel,Clumber_Spaniel.png
Cocker Spaniel,Cocker_Spaniel.png
Collie,Collie.png
Coton de Tulear,Coton_de_Tulear.png
Croatian Sheepdog,Croatian_Sheepdog.png
Curly-Coated Retriever,Curly_Coated_Retriever.png
Czechoslovakian Vlcak,Czechoslovakian_Vlcak.png
Dachshund,Dachshund.png
Dalmatian,Dalmatian.png
Dandie Dinmont Terrier,Dandie_Dinmont_Terrier.png
Danish-Swedish Farmdog,Danish_Swedish_Farmdog.png
Deutscher Wachtelhund,Deutscher_Wachtelhund.png
Doberman Pinscher,Doberman_Pinscher.png
Dogo Argentino,Dogo_Argentino.png
Dogue de Bordeaux,Dogue_de_Bordeaux.png
Drentsche Patrijshond,Drentsche_Patrijshond.png
Drever,Drever.png
Dutch Shepherd,Dutch_Shepherd.png
English Cocker Spaniel,English_Cocker_Spaniel.png
English Foxhound,English_Foxhound.png
English Setter,English_Setter.png
English Springer Spaniel,English_Springer_Spaniel.png
English Toy Spaniel,English_Toy_Spaniel.png
Entlebucher Mountain Dog,Entlebucher_Mountain_Dog.png
Estrela Mountain Dog,Estrela_Mountain_Dog.png
Eurasier,Eurasier.png
Field Spaniel,Field_Spaniel.png
Finnish Lapphund,Finnish_Lapphund.png
Finnish Spitz,Finnish_Spitz.png
Flat-Coated Retriever,Flat_Coated_Retriever.png
French Bulldog,French_Bulldog.png
French Spaniel,French_Spaniel.png
German Longhaired Pointer,German_Longhaired_Pointer.png
German Pinscher,German_Pinscher.png
German Shepherd Dog,German_Shepherd_Dog.png
German Shorthaired Pointer,German_Shorthaired_Pointer.png
German Spitz,German_Spitz.png
German Wirehaired Pointer,German_Wirehaired_Pointer.png
Giant Schnauzer,Giant_Schnauzer.png
Glen of Imaal Terrier,Glen_of_Imaal_Terrier.png
Golden Retriever,Golden_Retriever.png
Gordon Setter,Gordon_Setter.png
Grand Basset Griffon Vendéen,Grand_Basset_Griffon_Vendeen.png
Great Dane,Great_Dane.png
Great Pyrenees,Great_Pyrenees.png
Greater Swiss Mountain Dog,Greater_Swiss_Mountain_Dog.png
Greyhound,Greyhound.png
Hamiltonstovare,Hamiltonstovare.png
Hanoverian Scenthound,Hanoverian_Scenthound.png
Harrier,Harrier.png
Havanese,Havanese.png
Hokkaido,Hokkaido.png
Hovawart,Hovawart.png
Ibizan Hound,Ibizan_Hound.png
Icelandic Sheepdog,Icelandic_Sheepdog.png
Irish Red and White Setter,Irish_Red_and_White_Setter.png
Irish Setter,Irish_Setter.png
Irish Terrier,Irish_Terrier.png
Irish Water Spaniel,Irish_Water_Spaniel.png
Irish Wolfhound,Irish_Wolfhound.png
Italian Greyhound,Italian_Greyhound.png
Jagdterrier,Jagdterrier.png
Japanese Chin,Japanese_Chin.png
Japanese Spitz,Japanese_Spitz.png
Jindo,Jindo.png
Kai Ken,Kai_Ken.png
Karelian Bear Dog,Karelian_Bear_Dog.png
Keeshond,Keeshond.png
Kerry Blue Terrier,Kerry_Blue_Terrier.png
Kishu Ken,Kishu_Ken.png
Komondor,Komondor.png
Kromfohrlander,Kromfohrlander.png
Kuvasz,Kuvasz.png
Labrador Retriever,Labrador_Retriever.png
Lagotto Romagnolo,Lagotto_Romagnolo.png
Lakeland Terrier,Lakeland_Terrier.png
Lancashire Heeler,Lancashire_Heeler.png
Lapponian Herder,Lapponian_Herder.png
Leonberger,Leonberger.png
Lhasa Apso,Lhasa_Apso.png
Lowchen,Lowchen.png
Maltese,Maltese.png
Manchester Terrier Standard,Manchester_Terrier_Standard.png
Manchester Terrier Toy,Manchester_Terrier_Toy.png
Mastiff,Mastiff.png
Miniature American Shepherd,Miniature_American_Shepherd.png
Miniature Bull Terrier,Miniature_Bull_Terrier.png
Miniature Pinscher,Miniature_Pinscher.png
Miniature Schnauzer,Miniature_Schnauzer.png
Mountain Cur,Mountain_Cur.png
Mudi,Mudi.png
Neapolitan Mastiff,Neapolitan_Mastiff.png
Nederlandse Kooikerhondje,Nederlandse_Kooikerhondje.png
Newfoundland,Newfoundland.png
Norfolk Terrier,Norfolk_Terrier.png
Norrbottenspets,Norrbottenspets.png
Norwegian Buhund,Norwegian_Buhund.png
Norwegian Elkhound,Norwegian_Elkhound.png
Norwegian Lundehund,Norwegian_Lundehund.png
Norwich Terrier,Norwich_Terrier.png
Nova Scotia Duck Tolling Retriever,Nova_Scotia_Duck_Tolling_Retriever.png
Old English Sheepdog,Old_English_Sheepdog.png
Otterhound,Otterhound.png
Papillon,Papillon.png
Parson Russell Terrier,Parson_Russell_Terrier.png
Pekingese,Pekingese.png
Pembroke Welsh Corgi,Pembroke_Welsh_Corgi.png
Perro de Presa Canario,Perro_de_Presa_Canario.png
Peruvian Inca Orchid,Peruvian_Inca_Orchid.png
Petit Basset Griffon Vendéen,Petit_Basset_Griffon_Vendeen.png
Pharaoh Hound,Pharaoh_Hound.png
Plott Hound,Plott_Hound.png
Pointer,Pointer.png
Polish Lowland Sheepdog,Polish_Lowland_Sheepdog.png
Pomeranian,Pomeranian.png
Poodle Miniature,Poodle_Miniature.png
Poodle Standard,Poodle_Standard.png
Poodle Toy,Poodle_Toy.png
Porcelaine,Porcelaine.png
Portuguese Podengo,Portuguese_Podengo.png
Portuguese Podengo Pequeno,Portuguese_Podengo_Pequeno.png
Portuguese Pointer,Portuguese_Pointer.png
Portuguese Sheepdog,Portuguese_Sheepdog.png
Portuguese Water Dog,Portuguese_Water_Dog.png
Pudelpointer,Pudelpointer.png
Pug,Pug.png
Puli,Puli.png
Pumi,Pumi.png
Pyrenean Mastiff,Pyrenean_Mastiff.png
Pyrenean Shepherd,Pyrenean_Shepherd.png
Rafeiro do Alentejo,Rafeiro_do_Alentejo.png
Rat Terrier,Rat_Terrier.png
Redbone Coonhound,Redbone_Coonhound.png
Rhodesian Ridgeback,Rhodesian_Ridgeback.png
Romanian Mioritic Shepherd Dog,Romanian_Mioritic_Shepherd_Dog.png
Rottweiler,Rottweiler.png
Russell Terrier,Russell_Terrier.png
Russian Toy,Russian_Toy.png
Russian Tsvetnaya Bolonka,Russian_Tsvetnaya_Bolonka.png
Saint Bernard,Saint_Bernard.png
Saluki,Saluki.png
Samoyed,Samoyed.png
Schapendoes,Schapendoes.png
Schipperke,Schipperke.png
Scottish Deerhound,Scottish_Deerhound.png
Scottish Terrier,Scottish_Terrier.png
Sealyham Terrier,Sealyham_Terrier.png
Segugio Italiano,Segugio_Italiano.png
Shetland Sheepdog,Shetland_Sheepdog.png
Shiba Inu,Shiba_Inu.png
Shih Tzu,Shih_Tzu.png
Shikoku,Shikoku.png
Siberian Husky,Siberian_Husky.png
Silky Terrier,Silky_Terrier.png
Skye Terrier,Skye_Terrier.png
Sloughi,Sloughi.png
Slovakian Wirehaired Pointer,Slovakian_Wirehaired_Pointer.png
Slovensky Cuvac,Slovensky_Cuvac.png
Slovensky Kopov,Slovensky_Kopov.png
Small Munsterlander Pointer,Small_Munsterlander_Pointer.png
Smooth Fox Terrier,Smooth_Fox_Terrier.png
Soft Coated Wheaten Terrier,Soft_Coated_Wheaten_Terrier.png
Spanish Mastiff,Spanish_Mastiff.png
Spanish Water Dog,Spanish_Water_Dog.png
Spinone Italiano,Spinone_Italiano.png
Stabyhoun,Stabyhoun.png
Staffordshire Bull Terrier,Staffordshire_Bull_Terrier.png
Standard Schnauzer,Standard_Schnauzer.png
Sussex Spaniel,Sussex_Spaniel.png
Swedish Lapphund,Swedish_Lapphund.png
Swedish Vallhund,Swedish_Vallhund.png
Taiwan Dog,Taiwan_Dog.png
Teddy Roosevelt Terrier,Teddy_Roosevelt_Terrier.png
Thai Ridgeback,Thai_Ridgeback.png
Tibetan Mastiff,Tibetan_Mastiff.png
Tibetan Spaniel,Tibetan_Spaniel.png
Tibetan Terrier,Tibetan_Terrier.png
Tornjak,Tornjak.png
Tosa,Tosa.png
Toy Fox Terrier,Toy_Fox_Terrier.png
Transylvanian Hound,Transylvanian_Hound.png
Treeing Tennessee Brindle,Treeing_Tennessee_Brindle.png
Treeing Walker Coonhound,Treeing_Walker_Coonhound.png
Vizsla,Vizsla.png
Weimaraner,Weimaraner.png
Welsh Springer Spaniel,Welsh_Springer_Spaniel.png
Welsh Terrier,Welsh_Terrier.png
West Highland White Terrier,West_Highland_White_Terrier.png
Wetterhoun,Wetterhoun.png
Whippet,Whippet.png
Wire Fox Terrier,Wire_Fox_Terrier.png
Wirehaired Pointing Griffon,Wirehaired_Pointing_Griffon.png
Wirehaired Vizsla,Wirehaired_Vizsla.png
Working Kelpie,Working_Kelpie.png
Xoloitzcuintli,Xoloitzcuintli.png
Yakutian Laika,Yakutian_Laika.png
Yorkshire Terrier,Yorkshire_Terrier.png
